NO,Kode Barang,Barcode,Nama Barang,Satuan,Qty,Harga,Diskon,Diskon (Rupiah),Jual (Rupiah),Kategori Penjualan,Label Penjualan
1,200300062,8998866500524,BABY HAPPY L8,PCS,11.0,13400.0,0.0,Rp0,Rp147.400,Tidak Laris,3
2,201700128,8998866500487,BABY HAPPY M20 BAG,PCS,15.0,31500.0,0.0,Rp0,Rp472.500,Tidak Laris,3
3,201300065,201300065,BABY HAPPY M32 BAG,PCS,8.0,50400.0,0.0,Rp0,Rp403.200,Tidak Laris,3
4,200300064,8998866500470,BABY HAPPY M9,PCS,17.0,13400.0,0.0,Rp0,Rp227.800,Tidak Laris,3
5,200600244,8998866500517,BABY HAPPY PANTS L1,PCS,983.0,1850.3472,0.15,Rp272.834,Rp1.546.058,Laris,1
6,201700059,8998866500531,BABY HAPPY PANTS L20,PCS,11.0,34800.0,0.0,Rp0,Rp382.800,Tidak Laris,3
7,200300087,8998866500555,BABY HAPPY PANTS L28,PCS,8.0,50400.0,0.0,Rp0,Rp403.200,Tidak Laris,3
8,201209,201209,BABY HAPPY PANTS L42 JUMBO,PCS,3.0,69900.0,0.0,Rp0,Rp209.700,Tidak Laris,3
9,101400054,8998866500463,BABY HAPPY PANTS M1,PCS,599.0,1797.826,0.15,Rp161.535,Rp915.363,Laris,1
10,201210,201210,BABY HAPPY PANTS M48 JUMBO,PCS,3.0,69900.0,0.0,Rp0,Rp209.700,Tidak Laris,3
11,200300103,200300103,BABY HAPPY PANTS S1,PCS,151.0,1652.0833,0.15,Rp37.420,Rp212.045,Laris,1
12,200300104,8998866500838,BABY HAPPY PANTS S1 3+1,PCS,242.0,1797.0588,0.15,Rp65.233,Rp369.655,Laris,1
13,200300094,8998866501217,BABY HAPPY PANTS S38,PCS,2.0,49500.0,0.0,Rp0,Rp99.000,Tidak Laris,3
14,200600243,8998866500562,BABY HAPPY PANTS XL1,PCS,43.0,2400.0,0.05,Rp5.160,Rp98.040,Sedang,2
15,200300105,200300105,BABY HAPPY PANTS XXL1,PCS,305.0,2477.0491,0.15,Rp113.325,Rp642.175,Laris,1
